caseid,age,total_children,felling_live,gender,marital_status,education,self_rated_mental_health,income_respondent,average_hours_worked
10918,54.5,2,7,Female,Married,Trade certificate or diploma,Very good,"Less than $25,000",Valid skip
10919,73.7,2,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
10920,58.7,4,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",Don't know
10921,57.2,2,6,Female,Living common-law,High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",Valid skip
10922,59,0,10,Male,Married,Trade certificate or diploma,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
10923,62.8,2,8,Female,Divorced,"University certificate, diploma or degree above the bach...",Very good,"$50,000 to $74,999",Valid skip
10924,46.8,1,9,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$125,000 and more",50.1 hours and more
10925,32,3,2,Female,Separated,High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",Valid skip
10926,69.8,3,4,Female,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
10927,56.4,0,5,Male,"Single, never married",Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",40.1 to 50.0 hours
10928,45.9,0,8,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
10929,45.8,1,5,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"Less than $25,000",40.1 to 50.0 hours
10930,46.6,2,NA,Female,"Single, never married",Less than high school diploma or its equivalent,Poor,"Less than $25,000",Valid skip
