caseid,age,total_children,felling_live,gender,marital_status,education,self_rated_mental_health,income_respondent,average_hours_worked
2732,53.5,2,10,Male,Married,High school diploma or a high school equivalency certificate,Good,"$75,000 to $99,999",Refusal
2733,34.3,2,7,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
2734,32.8,0,7,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"$50,000 to $74,999",30.0 to 40.0 hours
2735,52,1,6,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
2736,63.4,0,7,Female,"Single, never married",High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
2737,67.4,2,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",Valid skip
2738,61.9,3,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",Valid skip
2739,41.6,0,4,Female,"Single, never married",High school diploma or a high school equivalency certificate,Poor,"$25,000 to $49,999",30.0 to 40.0 hours
2740,75.5,4,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",Valid skip
2741,67.3,2,10,Male,Divorced,Trade certificate or diploma,Very good,"$50,000 to $74,999",Valid skip
2742,22.3,0,10,Female,"Single, never married",University certificate or diploma below the bachelor's level,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
2743,27.1,2,8,Female,Living common-law,"College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",0.1 to 29.9 hours
2744,63.3,0,10,Male,Married,Less than high school diploma or its equivalent,Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
2745,41,0,8,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
2746,35.6,3,7,Female,Married,"University certificate, diploma or degree above the bach...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
2747,66.6,2,7,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
2748,74.1,2,7,Male,Living common-law,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
2749,17.5,0,8,Female,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",0.1 to 29.9 hours
2750,24.4,1,7,Male,"Single, never married",Less than high school diploma or its equivalent,Don't know,"$25,000 to $49,999",50.1 hours and more
2751,27,0,9,Male,"Single, never married",Trade certificate or diploma,Excellent,"$50,000 to $74,999",40.1 to 50.0 hours
2752,64.7,2,8,Female,Married,"NA",Very good,"$25,000 to $49,999",0.1 to 29.9 hours
2753,80,2,8,Female,Widowed,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
2754,32,1,9,Female,"Single, never married",Less than high school diploma or its equivalent,Good,"Less than $25,000",0.1 to 29.9 hours
2755,61.5,1,5,Male,"Single, never married",High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",Valid skip
2756,15.3,0,8,Female,"Single, never married",Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
2757,37,2,8,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",Don't know
2758,80,0,8,Male,Married,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
2759,71.8,2,5,Male,Married,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",Valid skip
2760,45.3,2,8,Female,Married,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",30.0 to 40.0 hours
2761,21.8,0,8,Female,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",40.1 to 50.0 hours
2762,80,3,8,Male,Widowed,Less than high school diploma or its equivalent,Fair,"Less than $25,000",30.0 to 40.0 hours
2763,63.9,2,7,Female,Widowed,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",40.1 to 50.0 hours
2764,58.1,4,10,Male,Living common-law,High school diploma or a high school equivalency certificate,Excellent,"$75,000 to $99,999",Valid skip
2765,56.4,0,7,Male,"Single, never married","University certificate, diploma or degree above the bach...",Good,"Less than $25,000",30.0 to 40.0 hours
2766,18.1,0,8,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
2767,72.3,2,8,Male,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
2768,27.5,0,8,Male,Living common-law,Trade certificate or diploma,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
2769,17.4,0,10,Male,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",Valid skip
2770,68.1,0,10,Female,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
2771,72.3,5,8,Female,Married,Trade certificate or diploma,Excellent,"Less than $25,000",Don't know
2772,61.6,0,9,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",Valid skip
2773,19.8,0,5,Male,"Single, never married",Less than high school diploma or its equivalent,Fair,"Less than $25,000",0.1 to 29.9 hours
2774,52.2,2,9,Female,Separated,University certificate or diploma below the bachelor's level,Very good,"$75,000 to $99,999",30.0 to 40.0 hours
2775,77,0,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
2776,72,3,9,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",Valid skip
2777,34.8,4,8,Male,Married,"NA",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
2778,31.3,2,NA,Male,Married,High school diploma or a high school equivalency certificate,"NA","$50,000 to $74,999",40.1 to 50.0 hours
2779,30.4,1,8,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$50,000 to $74,999",50.1 hours and more
2780,60,0,8,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",Valid skip
2781,72.3,2,5,Female,Divorced,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",Valid skip
2782,34.3,3,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"$50,000 to $74,999",0.1 to 29.9 hours
2783,26.2,0,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",30.0 to 40.0 hours
2784,30.3,0,6,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",0.1 to 29.9 hours
2785,56.7,4,8,Female,Married,Trade certificate or diploma,Fair,"Less than $25,000",Valid skip
2786,80,2,7,Female,Widowed,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
2787,58.3,0,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",0.1 to 29.9 hours
2788,32.3,0,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",40.1 to 50.0 hours
2789,24.7,0,7,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",0.1 to 29.9 hours
2790,42.6,1,NA,Female,Married,University certificate or diploma below the bachelor's level,Don't know,"Less than $25,000",30.0 to 40.0 hours
2791,29.8,2,9,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
2792,42.1,5,7,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Good,"$75,000 to $99,999",30.0 to 40.0 hours
2793,66.3,5,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",Valid skip
2794,61.3,0,7,Male,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
2795,69.8,1,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",Valid skip
2796,63.8,2,6,Female,Divorced,"University certificate, diploma or degree above the bach...",Good,"$75,000 to $99,999",30.0 to 40.0 hours
2797,55.6,1,9,Female,"Single, never married",University certificate or diploma below the bachelor's level,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
2798,46.1,1,9,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",0.1 to 29.9 hours
2799,61.2,3,8,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",Don't know
2800,67.1,3,7,Male,Divorced,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",0.1 to 29.9 hours
2801,80,3,8,Male,Married,"University certificate, diploma or degree above the bach...",Very good,"$75,000 to $99,999",Valid skip
2802,40.9,0,9,Male,Married,Trade certificate or diploma,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
2803,16.8,0,7,Female,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",0.1 to 29.9 hours
2804,54.1,3,9,Male,Married,University certificate or diploma below the bachelor's level,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
2805,67.5,4,4,Male,Divorced,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",Valid skip
2806,31.7,0,9,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$100,000 to $ 124,999",30.0 to 40.0 hours
2807,64.1,0,9,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
2808,80,2,9,Female,Married,Less than high school diploma or its equivalent,Fair,"Less than $25,000",Valid skip
2809,64.1,1,8,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",0.1 to 29.9 hours
2810,34.8,2,8,Male,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$50,000 to $74,999",40.1 to 50.0 hours
2811,80,4,10,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$50,000 to $74,999",Valid skip
2812,49.3,2,9,Female,Living common-law,Trade certificate or diploma,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
2813,43.6,1,9,Male,Married,Trade certificate or diploma,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
2814,56.4,0,7,Male,Married,Trade certificate or diploma,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
2815,69.4,4,10,Male,Widowed,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
2816,57.8,2,8,Male,Divorced,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
2817,16.8,0,9,Male,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",30.0 to 40.0 hours
2818,43,2,9,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",40.1 to 50.0 hours
2819,40.6,2,7,Female,Married,"University certificate, diploma or degree above the bach...",Very good,"$25,000 to $49,999",0.1 to 29.9 hours
2820,54,3,9,Female,Married,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",40.1 to 50.0 hours
2821,60.1,2,10,Male,Married,Trade certificate or diploma,Very good,"$25,000 to $49,999",Valid skip
2822,77.3,3,9,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
2823,25.3,0,6,Male,"Single, never married",High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",30.0 to 40.0 hours
2824,34.3,0,7,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",0.1 to 29.9 hours
2825,70.2,0,10,Male,Divorced,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",0.1 to 29.9 hours
2826,35.7,0,8,Male,Married,"College, CEGEP or other non-university certificate or di...",Good,"$100,000 to $ 124,999",40.1 to 50.0 hours
2827,52.9,3,8,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
2828,40.8,2,4,Female,Married,Trade certificate or diploma,Fair,"$25,000 to $49,999",30.0 to 40.0 hours
2829,55.2,2,8,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",0.1 to 29.9 hours
2830,58.9,3,10,Female,Married,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",40.1 to 50.0 hours
2831,55.2,2,10,Male,Married,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",50.1 hours and more
2832,39.5,3,8,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
2833,56.3,2,10,Male,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",30.0 to 40.0 hours
2834,60.9,5,8,Male,Living common-law,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",40.1 to 50.0 hours
2835,80,4,8,Female,Widowed,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
2836,44.2,3,7,Female,Separated,"University certificate, diploma or degree above the bach...",Good,"$50,000 to $74,999",30.0 to 40.0 hours
2837,40.5,2,8,Female,Separated,"College, CEGEP or other non-university certificate or di...",Good,"$50,000 to $74,999",Don't know
2838,52.7,1,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$50,000 to $74,999",30.0 to 40.0 hours
2839,41.9,0,7,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$50,000 to $74,999",40.1 to 50.0 hours
2840,29.4,1,9,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
2841,49.2,3,9,Male,Married,Less than high school diploma or its equivalent,Excellent,"$100,000 to $ 124,999",30.0 to 40.0 hours
2842,77.3,1,9,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$50,000 to $74,999",Valid skip
2843,26.2,0,4,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Fair,"$25,000 to $49,999",30.0 to 40.0 hours
2844,22.9,0,9,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",30.0 to 40.0 hours
2845,56.8,3,9,Male,Married,Trade certificate or diploma,Very good,"$25,000 to $49,999",40.1 to 50.0 hours
2846,63.4,3,7,Female,Widowed,"College, CEGEP or other non-university certificate or di...",Poor,"$50,000 to $74,999",30.0 to 40.0 hours
2847,80,7,5,Female,Widowed,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
2848,42.3,2,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
2849,39.7,2,7,Male,Divorced,"College, CEGEP or other non-university certificate or di...",Very good,"$50,000 to $74,999",40.1 to 50.0 hours
2850,65,2,8,Female,Married,Less than high school diploma or its equivalent,Fair,"$25,000 to $49,999",30.0 to 40.0 hours
2851,27.2,0,8,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$50,000 to $74,999",30.0 to 40.0 hours
2852,30.7,0,5,Female,"Single, never married",Trade certificate or diploma,Very good,"Less than $25,000",30.0 to 40.0 hours
2853,47.8,2,9,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
2854,53.7,1,9,Female,Divorced,Less than high school diploma or its equivalent,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
2855,76.8,2,8,Male,Widowed,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
2856,64.5,1,8,Female,Married,University certificate or diploma below the bachelor's level,Poor,"$50,000 to $74,999",Valid skip
2857,32.8,5,9,Male,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
2858,62.6,2,8,Male,Living common-law,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",40.1 to 50.0 hours
2859,21.3,0,10,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",0.1 to 29.9 hours
2860,37.3,3,5,Male,Married,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",40.1 to 50.0 hours
2861,51.8,2,7,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$75,000 to $99,999",30.0 to 40.0 hours
2862,37,2,8,Male,Married,"University certificate, diploma or degree above the bach...",Good,"$125,000 and more",30.0 to 40.0 hours
2863,21.4,0,8,Male,"Single, never married",High school diploma or a high school equivalency certificate,Good,"Less than $25,000",30.0 to 40.0 hours
2864,62.7,0,6,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Good,"$50,000 to $74,999",0.1 to 29.9 hours
2865,64.2,2,8,Male,Married,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",40.1 to 50.0 hours
2866,61.5,1,7,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
2867,29.4,0,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
2868,44.9,3,5,Male,Divorced,Trade certificate or diploma,Very good,"Less than $25,000",Valid skip
2869,71.9,3,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",0.1 to 29.9 hours
2870,80,4,NA,Male,Widowed,"NA","NA","$25,000 to $49,999",Valid skip
2871,32.7,0,4,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Poor,"$25,000 to $49,999",0.1 to 29.9 hours
2872,52.8,0,10,Female,Living common-law,"University certificate, diploma or degree above the bach...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
2873,50,0,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"$50,000 to $74,999",30.0 to 40.0 hours
2874,46.5,1,8,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
2875,40.3,0,8,Female,Divorced,"University certificate, diploma or degree above the bach...",Excellent,"$125,000 and more",30.0 to 40.0 hours
2876,70.2,2,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",Valid skip
2877,56.7,4,10,Female,Living common-law,High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",Valid skip
2878,68.8,1,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
2879,71,3,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",0.1 to 29.9 hours
2880,66.1,0,9,Male,"Single, never married","University certificate, diploma or degree above the bach...",Very good,"Less than $25,000",30.0 to 40.0 hours
2881,80,4,8,Male,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",Valid skip
2882,62.9,1,6,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
2883,69.3,3,10,Female,Widowed,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
2884,38.3,3,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
2885,69.3,3,9,Male,Married,High school diploma or a high school equivalency certificate,Very good,"$100,000 to $ 124,999",40.1 to 50.0 hours
2886,37.1,2,7,Male,Separated,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
2887,38,4,8,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",0.1 to 29.9 hours
2888,80,0,5,Female,Widowed,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
2889,59.1,2,10,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
2890,75.3,2,10,Female,Divorced,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
2891,24.7,1,7,Female,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
2892,58.9,2,9,Female,Married,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
2893,18.8,0,6,Female,"Single, never married",High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",0.1 to 29.9 hours
2894,57.4,0,9,Female,Married,University certificate or diploma below the bachelor's level,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
2895,46.8,2,6,Female,Married,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",30.0 to 40.0 hours
2896,59.5,1,8,Male,Divorced,"University certificate, diploma or degree above the bach...",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
2897,80,1,8,Female,Widowed,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
2898,31,1,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
2899,38.1,1,10,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",30.0 to 40.0 hours
2900,66.3,2,8,Male,Married,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",40.1 to 50.0 hours
2901,65.2,4,7,Female,Widowed,"College, CEGEP or other non-university certificate or di...",Fair,"$25,000 to $49,999",Valid skip
2902,61,2,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",Valid skip
2903,50.2,2,9,Male,Divorced,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$125,000 and more",40.1 to 50.0 hours
2904,45.7,2,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",30.0 to 40.0 hours
2905,71.5,2,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$125,000 and more",40.1 to 50.0 hours
2906,51.4,3,9,Male,Living common-law,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",50.1 hours and more
2907,54.2,2,7,Male,Divorced,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
2908,52.3,0,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$50,000 to $74,999",Don't know
2909,41.3,2,8,Male,Separated,Less than high school diploma or its equivalent,Good,"$50,000 to $74,999",30.0 to 40.0 hours
2910,46.3,4,10,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Very good,"$100,000 to $ 124,999",30.0 to 40.0 hours
2911,70.3,2,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
2912,42.7,0,7,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$50,000 to $74,999",Valid skip
2913,55.7,2,9,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$100,000 to $ 124,999",30.0 to 40.0 hours
2914,41.3,4,7,Male,Married,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",50.1 hours and more
2915,42.9,2,8,Male,Living common-law,University certificate or diploma below the bachelor's level,Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
2916,31.8,1,8,Male,Married,Trade certificate or diploma,Excellent,"$125,000 and more",50.1 hours and more
2917,23.2,0,7,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",30.0 to 40.0 hours
2918,32.1,0,4,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Fair,"$25,000 to $49,999",30.0 to 40.0 hours
2919,49.8,3,5,Male,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",30.0 to 40.0 hours
2920,36.5,1,8,Female,Married,"University certificate, diploma or degree above the bach...",Excellent,"Less than $25,000",30.0 to 40.0 hours
2921,45.2,0,7,Male,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",30.0 to 40.0 hours
2922,54.2,2,9,Male,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
2923,17.2,0,10,Female,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",30.0 to 40.0 hours
2924,37,2,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"Less than $25,000",0.1 to 29.9 hours
2925,79.3,4,9,Female,Widowed,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
2926,42.1,2,7,Female,Married,"University certificate, diploma or degree above the bach...",Excellent,"$100,000 to $ 124,999",30.0 to 40.0 hours
2927,35.6,0,7,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Fair,"$50,000 to $74,999",40.1 to 50.0 hours
2928,58.6,7,10,Male,Married,Less than high school diploma or its equivalent,Fair,"Less than $25,000",Valid skip
2929,49.2,2,9,Male,Married,Trade certificate or diploma,Excellent,"$100,000 to $ 124,999",30.0 to 40.0 hours
2930,27.2,0,7,Female,"Single, never married",Trade certificate or diploma,Good,"Less than $25,000",0.1 to 29.9 hours
2931,65.6,3,10,Male,Married,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
2932,57.5,4,9,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
2933,68.5,2,9,Male,Married,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",Valid skip
2934,39.2,2,8,Female,Married,"University certificate, diploma or degree above the bach...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
2935,56.7,2,NA,Female,"Single, never married",Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
2936,26.2,0,10,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",40.1 to 50.0 hours
2937,80,2,7,Male,Married,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",Valid skip
2938,47.2,2,8,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$100,000 to $ 124,999",40.1 to 50.0 hours
2939,21.3,0,10,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Fair,"$25,000 to $49,999",40.1 to 50.0 hours
2940,28.8,0,6,Female,"Single, never married",High school diploma or a high school equivalency certificate,Fair,"$25,000 to $49,999",0.1 to 29.9 hours
2941,26.8,0,5,Male,"Single, never married",High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",30.0 to 40.0 hours
2942,33.3,1,9,Female,Living common-law,High school diploma or a high school equivalency certificate,Excellent,"$75,000 to $99,999",50.1 hours and more
2943,29.3,0,8,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
2944,63.2,1,7,Female,Separated,High school diploma or a high school equivalency certificate,Good,"$75,000 to $99,999",Don't know
2945,64.5,3,8,Female,Married,University certificate or diploma below the bachelor's level,Very good,"$25,000 to $49,999",Valid skip
2946,54.8,0,7,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",Valid skip
2947,54.3,6,8,Female,Married,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
2948,79.9,7,9,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
2949,67.2,2,8,Male,Living common-law,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",Valid skip
2950,76.9,0,10,Female,"Single, never married",Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
